,id,title,popularity,release_date
221,4348,Pride & Prejudice,67.735,2005-09-16
222,472454,Ayla: The Daughter of War,18.77,2017-10-27
223,359940,"Three Billboards Outside Ebbing, Missouri",37.16,2017-12-01
224,21634,Prayers for Bobby,21.347,2009-01-24
225,992,Sherlock Jr.,15.625,1924-04-17
226,62,2001: A Space Odyssey,70.868,1968-04-02
227,11645,Ran,23.135,1985-06-01
228,522518,A Dog's Journey,31.729,2019-05-03
229,334543,Lion,52.034,2016-11-24
230,11659,The Best of Youth,11.718,2003-06-22
231,8392,My Neighbor Totoro,61.461,1988-04-10
232,437068,A Taxi Driver,21.321,2017-08-02
233,381284,Hidden Figures,59.994,2016-12-10
234,11423,Memories of Murder,38.977,2003-05-02
235,8422,Rocco and His Brothers,15.512,1960-10-07
236,1091,The Thing,52.038,1982-06-25
237,7347,Elite Squad,47.521,2007-10-12
238,42229,A Special Day,10.573,1977-08-11
239,785534,Paper Lives,12.714,2021-03-12
240,120467,The Grand Budapest Hotel,38.208,2014-02-26
241,638507,How to Train Your Dragon: Homecoming,42.511,2019-12-03
242,906126,Society of the Snow,48.481,2023-12-15
243,538362,On My Skin,9.058,2018-09-12
244,823754,Bo Burnham: Inside,10.891,2021-07-22
245,1000492,All Your Faces,14.864,2023-03-29
246,821,Judgment at Nuremberg,21.293,1961-12-18
247,310569,The Second Mother,13.759,2015-06-04
248,800,The Young and the Damned,11.029,1950-12-09
249,31439,To Live,18.988,1994-05-26
250,204,The Wages of Fear,17.793,1953-04-22
251,347688,Scooby-Doo! and KISS: Rock and Roll Mystery,17.804,2015-07-10
252,147,The 400 Blows,21.749,1959-06-03
253,400928,Gifted,50.662,2017-04-07
254,106646,The Wolf of Wall Street,100.985,2013-12-25
255,1955,The Elephant Man,28.986,1980-10-09
256,26022,My Name Is Khan,23.256,2010-02-10
257,279,Amadeus,27.69,1984-09-19
258,582,The Lives of Others,19.917,2006-03-23
259,9277,The Sting,20.322,1973-12-25
260,962232,Beyond the Universe,13.881,2022-10-27
261,515001,Jojo Rabbit,26.21,2019-10-18
262,610461,"Veinteañera, divorciada y fantástica",14.055,2020-02-14
263,264644,Room,18.601,2015-10-16
264,12761,Autumn Sonata,15.31,1978-10-08
265,938,For a Few Dollars More,49.554,1965-12-18
266,14,American Beauty,37.647,1999-09-15
267,673,Harry Potter and the Prisoner of Azkaban,135.652,2004-05-31
268,678580,El mesero,9.198,2021-07-15
269,641,Requiem for a Dream,17.205,2000-10-06
270,521,Dial M for Murder,20.246,1954-05-29
271,43949,Flipped,69.22,2010-08-06
272,678512,Sound of Freedom,64.628,2023-07-03
273,337404,Cruella,76.37,2021-05-26
274,780,The Passion of Joan of Arc,12.4,1928-04-21
275,740937,Simone: Woman of the Century,7.219,2022-10-12
276,895,Andrei Rublev,14.854,1966-12-16
277,55960,"Toto, Peppino, and the Hussy",6.529,1956-08-23
278,15,Citizen Kane,28.584,1941-04-17
279,449176,"Love, Simon",22.49,2018-02-16
280,526702,Black Beauty,12.038,2020-11-27
281,28178,Hachi: A Dog's Tale,37.023,2009-06-08
282,3175,Barry Lyndon,23.603,1975-12-18
283,11778,The Deer Hunter,28.108,1978-12-08
284,110416,Song of the Sea,19.492,2014-06-23
285,524,Casino,29.75,1995-11-22
286,307,"Rome, Open City",16.827,1945-10-08
287,359724,Ford v Ferrari,53.22,2019-11-13
288,25376,The Secret in Their Eyes,28.18,2009-08-13
289,339877,Loving Vincent,24.374,2017-06-22
290,930094,"Red, White & Royal Blue",70.054,2023-07-27
291,568160,Weathering with You,35.406,2019-06-19
292,595,To Kill a Mockingbird,44.849,1962-12-20
293,947,Lawrence of Arabia,28.391,1962-12-11
294,11658,Tae Guk Gi: The Brotherhood of War,16.679,2004-02-05
295,205596,The Imitation Game,61.214,2014-11-14
296,414419,Kill Bill: The Whole Bloody Affair,23.266,2011-03-27
297,962,The Gold Rush,14.875,1925-07-13
298,429210,Bingo: The King of the Mornings,9.896,2017-08-24
299,140420,Paperman,13.867,2012-11-02
300,455661,In a Heartbeat,5.126,2017-06-01
301,20453,3 Idiots,33.577,2009-12-23
302,530915,1917,49.703,2019-12-25
303,18438,Castaway on the Moon,16.109,2009-05-14
304,13223,Gran Torino,27.791,2008-12-12
305,28978,The Circus,14.484,1928-01-29
306,19426,Nights of Cabiria,13.187,1957-10-03
307,7508,Like Stars on Earth,18.978,2007-12-21
308,424694,Bohemian Rhapsody,59.41,2018-10-24
309,11104,Chungking Express,28.195,1994-07-14
310,213,North by Northwest,20.067,1959-07-08
311,488623,Forgotten,22.398,2017-11-29
312,10515,Castle in the Sky,42.335,1986-08-02
313,640,Catch Me If You Can,60.515,2002-12-16
314,1050035,Monster,43.438,2023-06-02
315,2517,Nobody Knows,20.213,2004-08-07
316,20530,Late Spring,16.321,1949-09-13
317,14696,Ugetsu,25.879,1953-03-26
318,1396,Mirror,43.664,1975-03-07
319,862,Toy Story,103.711,1995-10-30
320,447365,Guardians of the Galaxy Vol. 3,137.914,2023-05-03
321,28422,Love Exposure,18.167,2009-01-31
322,5801,Song of the Little Road,13.806,1955-08-26
323,3090,The Treasure of the Sierra Madre,18.523,1948-01-15
324,76,Before Sunrise,35.615,1995-01-27
325,627,Trainspotting,26.533,1996-02-23
326,24,Kill Bill: Vol. 1,67.266,2003-10-10
327,574074,Kitbull,23.904,2019-01-18
328,9764,Dersu Uzala,17.946,1975-08-02
329,315465,The Boy and the Beast,21.04,2015-07-11
330,19542,The Red Shoes,15.4,1948-09-06
331,160885,Tel chi el telùn,4.836,1999-05-12
332,12104,Pink Floyd: The Wall,16.729,1982-07-14
333,961,The General,15.713,1926-12-25
334,634649,Spider-Man: No Way Home,191.404,2021-12-15
335,554596,No Manches Frida 2,41.969,2019-03-15
336,38360,The Cranes Are Flying,16.527,1957-10-12
337,38286,Three Men and a Leg,8.432,1997-12-27
338,615457,Nobody,52.331,2021-03-18
339,14160,Up,96.61,2009-05-28
340,745,The Sixth Sense,38.425,1999-08-06
341,70,Million Dollar Baby,21.449,2004-12-15
342,916224,Suzume,47.271,2022-11-11
343,15244,A Man Escaped,13.508,1956-11-11
344,5925,The Great Escape,29.62,1963-07-03
345,1580,Rope,17.841,1948-03-11
346,329,Jurassic Park,41.874,1993-06-11
347,242828,When Marnie Was There,26.353,2014-07-19
348,237791,The Way He Looks,10.537,2014-04-10
349,158445,Miracle in Cell No. 7,23.345,2013-01-23
350,10997,Farewell My Concubine,25.543,1993-01-01
